,Number1,Number2,Number3,Number4
858,,,,
859,one,,,
860,,,,
861,one,one,one,
862,,,,
863,two,,,
864,,,,
865,ten,ten,,
866,,,,
867,,,,
868,,,,
869,ten,,,
870,,,,
871,,,,
872,,,,
873,,,,
874,,,,
875,,,,
876,,,,
877,,,,
878,one,,,
879,two,one,,
880,,,,
881,,,,
882,two,one,two,one
883,ten,,,
884,,,,
885,,,,
886,,,,
887,one,,,
888,three,three,,
889,,,,
890,,,,
891,,,,
892,,,,
893,,,,
894,,,,
895,,,,
896,,,,
897,,,,
898,,,,
899,two,one,,
900,one,,,
901,,,,
902,,,,
903,,,,
904,,,,
905,,,,
906,one,,,
907,,,,
908,,,,
909,,,,
910,,,,
911,,,,
912,,,,
913,,,,
914,,,,
915,,,,
916,,,,
917,,,,
918,,,,
919,,,,
920,one,,,
921,three,,,
922,one,,,
923,one,,,
924,,,,
925,,,,
926,,,,
927,,,,
928,,,,
929,one,one,,
930,,,,
931,,,,
932,,,,
933,,,,
934,,,,
935,,,,
936,,,,
937,one,,,
938,,,,
939,one,,,
940,ten,ten,one,one
941,two,,,
942,two,one,,
943,,,,
944,,,,
945,,,,
946,,,,
947,,,,
948,,,,
949,one,,,
950,,,,
951,,,,
952,,,,
953,,,,
954,one,,,
955,,,,
956,,,,
957,,,,
958,,,,
959,,,,
960,two,,,
961,,,,
962,,,,
963,two,one,four,
964,,,,
965,,,,
966,,,,
967,one,,,
968,,,,
969,,,,
970,,,,
971,,,,
972,,,,
973,one,,,
974,,,,
975,one,,,
976,one,,,
977,,,,
978,,,,
979,,,,
980,,,,
981,three,,,
982,,,,
983,one,,,
984,,,,
985,,,,
986,,,,
987,one,one,,
988,ten,,,
989,,,,
990,,,,
991,,,,
992,one,,,
993,two,,,
994,five,,,
995,,,,
996,one,,,
997,ten,,,
998,,,,
999,,,,
1000,,,,
1001,,,,
1002,,,,
1003,ten,,,
1004,,,,
1005,one,,,
1006,,,,
1007,,,,
1008,,,,
1009,,,,
1010,,,,
1011,one,,,
1012,,,,
1013,,,,
1014,,,,
1015,,,,
1016,,,,
1017,,,,
1018,,,,
1019,,,,
1020,one,,,
1021,one,,,
1022,,,,
1023,,,,
1024,one,,,
1025,,,,
1026,,,,
1027,,,,
1028,one,,,
1029,,,,
1030,,,,
1031,,,,
1032,,,,
1033,,,,
1034,one,,,
1035,ten,,,
1036,,,,
1037,ten,,,
1038,,,,
1039,,,,
1040,ten,ten,four,
1041,four,,,
1042,,,,
1043,one,,,
1044,,,,
1045,,,,
1046,,,,
1047,,,,
1048,,,,
1049,,,,
1050,,,,
1051,,,,
1052,ten,,,
1053,,,,
1054,one,,,
1055,,,,
1056,,,,
1057,,,,
1058,,,,
1059,one,four,,
1060,,,,
1061,,,,
1062,,,,
1063,two,,,
1064,,,,
1065,,,,
1066,two,one,,
1067,,,,
1068,one,,,
1069,,,,
1070,one,three,,
1071,,,,
1072,,,,
1073,,,,
1074,,,,
1075,,,,
1076,one,one,,
1077,,,,
1078,ten,,,
1079,,,,
1080,one,,,
1081,,,,
1082,ten,,,
1083,one,one,two,ten
1084,one,,,
1085,,,,
1086,,,,
1087,,,,
1088,,,,
1089,,,,
1090,,,,
1091,four,one,,
1092,,,,
1093,two,one,ten,
1094,two,two,,
1095,,,,
1096,two,one,two,one
1097,two,one,two,one
1098,,,,
1099,,,,
1100,,,,
1101,,,,
1102,one,,,
1103,,,,
1104,,,,
1105,,,,
1106,,,,
1107,three,three,,
1108,one,one,one,one
1109,one,,,
1110,,,,
1111,,,,
1112,,,,
1113,,,,
1114,,,,
1115,,,,
1116,two,two,one,one
1117,,,,
1118,,,,
1119,one,,,
1120,,,,
1121,,,,
1122,,,,
1123,two,one,one,
1124,,,,
1125,,,,
1126,,,,
1127,two,one,,
1128,,,,
1129,,,,
1130,,,,
1131,one,,,
1132,,,,
1133,,,,
1134,,,,
1135,,,,
1136,,,,
1137,one,,,
1138,,,,
1139,,,,
1140,,,,
1141,,,,
1142,,,,
1143,,,,
1144,one,one,,
1145,,,,
1146,,,,
1147,two,,,
1148,,,,
1149,,,,
1150,two,ten,one,
1151,two,one,,
1152,,,,
1153,ten,four,,
1154,two,,,
1155,,,,
1156,,,,
1157,,,,
1158,,,,
1159,,,,
1160,,,,
1161,,,,
1162,one,,,
1163,,,,
1164,,,,
1165,,,,
1166,,,,
1167,,,,
1168,,,,
1169,,,,
1170,,,,
1171,one,,,
1172,,,,
1173,one,,,
1174,,,,
1175,,,,
1176,,,,
1177,,,,
1178,,,,
1179,,,,
1180,ten,,,
1181,,,,
1182,,,,
1183,,,,
1184,,,,
1185,,,,
1186,one,,,
1187,,,,
1188,,,,
1189,two,two,,
1190,,,,
1191,ten,,,
1192,,,,
1193,,,,
1194,,,,
1195,,,,
1196,,,,
1197,two,one,,
1198,,,,
1199,,,,
1200,,,,
1201,,,,
1202,two,two,,
1203,,,,
1204,three,two,,
1205,one,,,
1206,one,one,,
1207,,,,
1208,,,,
1209,three,,,
1210,,,,
1211,,,,
1212,,,,
1213,,,,
1214,,,,
1215,,,,
1216,,,,
1217,,,,
1218,,,,
1219,,,,
1220,,,,
1221,one,two,,
1222,,,,
1223,one,,,
1224,ten,one,one,
1225,,,,
1226,ten,one,one,
1227,,,,
1228,two,,,
1229,,,,
1230,,,,
1231,,,,
1232,,,,
1233,one,,,
1234,,,,
1235,ten,ten,one,
1236,,,,
1237,,,,
1238,,,,
1239,,,,
1240,ten,one,,
1241,,,,
1242,,,,
1243,,,,
1244,one,one,,
1245,one,,,
1246,,,,
1247,,,,
1248,,,,
1249,one,,,
1250,,,,
1251,,,,
1252,,,,
1253,,,,
1254,one,,,
1255,two,one,,
1256,one,,,
1257,one,,,
1258,,,,
1259,,,,
1260,,,,
1261,,,,
1262,,,,
1263,,,,
1264,,,,
1265,,,,
1266,,,,
1267,,,,
1268,,,,
1269,,,,
1270,,,,
1271,,,,
1272,,,,
1273,,,,
1274,,,,
1275,,,,
1276,,,,
1277,,,,
1278,,,,
1279,,,,
1280,,,,
1281,,,,
1282,,,,
1283,,,,
1284,,,,
1285,,,,
1286,,,,
1287,,,,
1288,,,,
1289,,,,
